seqnames	start	end	width	strand	annot	main.gene	deseq2.p	deseq2.padj	edger.p	edger.padj	qnb.p	qnb.padj	peak.l2fc	gene.l2fc	gene.p	gene.padj	diff.l2fc
chr1	135143	135275	132	-	exon	RP11-34P13.15	0.347983077303019	1	0.385320940962329	1	0.353564807345056	0.999541554038578	2.30069426087875	1.52970078579708	0.00142666672343469	0.0230743329665294	0.77099347508167
chr1	633986	634105	119	+	exon	MTATP6P1	0.289446397591814	1	0.261215777717769	1	0.49008056189836	0.999541554038578	-0.0752892670061596	0.477877019672341	0.240445035834498	0.745788994609231	-0.553166286678501
chr1	919605	919911	306	-	exon	RP11-54O7.3	0.425027538862195	1	0.452037895424766	1	0.0377955927759952	0.999541554038578	-2.31292127055785	-3.70046182420441	1.4429026923077e-16	3.33709037904763e-14	1.38754055364656
chr1	920062	920933	871	-	exon	RP11-54O7.3	0.446304424375283	1	0.378127070935678	1	0.0993668043503868	0.999541554038578	-3.85953121566817	-3.70046182420441	1.4429026923077e-16	3.33709037904763e-14	-0.159069391463768
chr1	924034	924294	260	+	utr5	SAMD11	0.541060712745693	1	0.525900688723911	1	0.0512314926268072	0.999541554038578	-4.43661446427775	-1.63732056389209	6.242938036814e-06	0.000220353935008708	-2.79929390038567
chr1	924607	924732	125	+	exon	SAMD11	0.530854147637326	1	0.552516869263008	1	0.204221330636943	0.999541554038578	-2.27643658359486	-1.63732056389209	6.242938036814e-06	0.000220353935008708	-0.639116019702773
chr1	925445	925545	100	+	intron	SAMD11	0.917473112868223	1	0.889528517220356	1	0.881155001718587	0.999541554038578	-2.44058390938907	-1.63732056389209	6.242938036814e-06	0.000220353935008708	-0.803263345496986
chr1	942687	943077	390	+	utr3	SAMD11	0.602310038910572	1	0.592192534190861	1	0.19808588145437	0.999541554038578	-3.41100144150644	-1.63732056389209	6.242938036814e-06	0.000220353935008708	-1.77368087761435
chr1	944279	944515	236	+	utr3	SAMD11	1.47273310487178e-06	0.00331332998718604	1.10095300736602e-06	0.01279857871063	5.71743133982307e-05	0.0103842846709536	-3.62077725887108	-1.63732056389209	6.242938036814e-06	0.000220353935008708	-1.983456694979
chr1	960600	960795	195	+	utr5	KLHL17	0.720826300647776	1	0.64938975272349	1	0.455545577646058	0.999541554038578	0.588236185918825	0.512428589270087	0.221067462730167	0.723796988666493	0.0758075966487377
chr1	999224	999340	116	-	exon	HES4	0.715809141633964	1	0.671262835499482	1	0.823903042181299	0.999541554038578	-0.197300250388122	-0.0719459233303947	0.875067992960927	0.992149433830949	-0.125354327057727
chr1	999910	1000101	191	-	utr5	HES4	0.759645243544562	1	0.710408470628999	1	0.894867966472646	0.999541554038578	-0.11629844597348	-0.0719459233303947	0.875067992960927	0.992149433830949	-0.0443525226430851
chr1	1000390	1000632	242	+	utr5*	ISG15	0.272013960500941	1	0.248070678133891	1	0.262797492351227	0.999541554038578	-0.451761615596679	2.37985836529824	4.03797548474956e-10	3.64528612162299e-08	-2.83161998089492
chr1	1020129	1020404	275	+	utr5	AGRN	0.839909110602379	1	0.959638381634427	1	0.98662405507014	0.999541554038578	-0.273468947469206	-0.485547303412014	0.190661458419702	0.679728109902115	0.212078355942808
chr1	1048062	1048324	262	+	exon	AGRN	0.609211096392248	1	0.725048585443245	1	0.885400458566577	0.999541554038578	-0.13501547037665	-0.485547303412014	0.190661458419702	0.679728109902115	0.350531833035364
chr1	1054996	1055750	754	+	utr3	AGRN	0.74615870544184	1	0.83383862970642	1	0.881327004480557	0.999541554038578	-0.210376068600991	-0.485547303412014	0.190661458419702	0.679728109902115	0.275171234811023
chr1	1065824	1065927	103	+	exon	RP11-465B22.3	0.401091565783375	1	0.398466575396772	1	0.0847430700129537	0.999541554038578	0.636897393168956	0.138690206135934	0.764785180899329	0.981816627879008	0.498207187033021
chr1	1082320	1082931	611	-	utr3	C1orf159	0.816631660808998	1	0.894964370930177	1	0.951456429576681	0.999541554038578	0.0854965011899635	-0.0975424338762882	0.822943465285169	0.988861458042204	0.183038935066252
chr1	1083790	1083928	138	-	utr3	C1orf159	0.734831655515031	1	0.726507733922298	1	0.473949341547656	0.999541554038578	-0.618438845565069	-0.0975424338762882	0.822943465285169	0.988861458042204	-0.52089641168878
chr1	1125646	1125747	101	+	intergenic	NA	0.277119869631188	1	0.215573875873844	1	0.148441168390002	0.999541554038578	-1.34324253239867	NA	NA	NA	NA
chr1	1217128	1217275	147	-	utr3	SDF4	0.649174768323277	1	0.568880479064825	1	0.699344515275109	0.999541554038578	-0.0307054713687792	0.104392725041899	0.787179590156999	0.984240372951749	-0.135098196410678
chr1	1217333	1217709	376	-	utr3	SDF4	0.740738397076979	1	0.665554374714715	1	0.686570091025681	0.999541554038578	-0.0669060494757434	0.104392725041899	0.787179590156999	0.984240372951749	-0.171298774517642
chr1	1228801	1228985	184	-	utr5	SDF4	0.67747026892602	1	0.788809032283121	1	0.791760209683029	0.999541554038578	0.407263107768239	0.104392725041899	0.787179590156999	0.984240372951749	0.30287038272634
chr1	1231847	1231967	120	-	utr5	SDF4	0.233527951570542	1	0.295040535603439	1	0.397362494636338	0.999541554038578	0.796712419904443	0.104392725041899	0.787179590156999	0.984240372951749	0.692319694862545
chr1	1232265	1233557	1292	+	utr3	B3GALT6	0.610681830286852	1	0.57714628750422	1	0.663348556446	0.999541554038578	-0.20870939660129	-0.163118257202745	0.655753380511204	0.962771874374774	-0.0455911393985441
chr1	1233949	1234151	202	+	utr3	B3GALT6	0.804831923096062	1	0.873978591326819	1	0.926239607723675	0.999541554038578	-0.35741844086038	-0.163118257202745	0.655753380511204	0.962771874374774	-0.194300183657635
chr1	1234544	1234929	385	+	utr3	B3GALT6	0.946227982204194	1	0.862322861715619	1	0.868268399240645	0.999541554038578	-0.49845249585872	-0.163118257202745	0.655753380511204	0.962771874374774	-0.335334238655975
chr1	1255033	1255421	388	-	utr3	UBE2J2	0.782675411425438	1	0.854391626560312	1	0.896799174756901	0.999541554038578	0.0176332909495492	-0.168015819675912	0.642623679865548	0.962246047966535	0.185649110625461
chr1	1273659	1273812	153	-	utr5	UBE2J2	0.751371975924704	1	0.682615093913939	1	0.795860197507761	0.999541554038578	-0.111875807344002	-0.168015819675912	0.642623679865548	0.962246047966535	0.0561400123319091
chr1	1307762	1307921	159	-	utr5	ACAP3	0.731032366761186	1	0.769031492583492	1	0.818126718117815	0.999541554038578	0.541231893292828	-0.059036119156512	0.890075990222788	0.993800497584684	0.60026801244934
chr1	1313139	1313484	345	-	exon	CPSF3L	0.955098172192468	1	0.988762041218913	1	0.98837369568678	0.999541554038578	-0.0123450079249978	-0.00388286844977405	0.991888145106779	0.998689465576738	-0.00846213947522378
chr1	1315129	1315295	166	-	exon	CPSF3L	0.595390111641675	1	0.538104745365595	1	0.455357609880588	0.999541554038578	-0.0112434301582757	-0.00388286844977405	0.991888145106779	0.998689465576738	-0.00736056170850168
chr1	1318974	1319125	151	-	exon	CPSF3L	0.726952999552375	1	0.666970335428355	1	0.592057157204563	0.999541554038578	-0.15893600326453	-0.00388286844977405	0.991888145106779	0.998689465576738	-0.155053134814756
